object_class,pattern,struct_cluster,sem_cluster,cluster_size,minority_size,dominant_sem_cluster,dominant_struct_cluster,cluster_purity,example_rank,object_id,object_label,definition,mean_weight_cosine,radicals
characters,struct_together_sem_split,53,45,309,231,0,,0.2524,3,U+351D,㔝,"strong resistance; lazy, reluctant",0.54115788,"一, 力, 巾"
characters,struct_together_sem_split,54,17,119,97,0,,0.1849,1,U+35F7,㗷,"(simplified form) to eat; to bite; to gnaw, a dialect, usually used at the end of a sentence",0.6410039666666667,"口, 宀, 貝"
characters,struct_together_sem_split,54,8,119,97,0,,0.1849,2,U+3609,㘉,"to make sound; to speak; (Cant.) to tickle, squeeze",0.6410525833333334,"卩, 口, 竹"
characters,struct_together_sem_split,54,8,119,97,0,,0.1849,3,U+360B,㘋,"sound; echo, difficult; troublesome",0.6527452475,"又, 口, 臣, 貝"
characters,struct_together_sem_split,55,9,371,206,25,,0.4447,1,U+389D,㢝,"cottage; a coarse house, house with flat roof",0.37273517333333334,"广, 禾, 魚"
characters,struct_together_sem_split,55,34,371,206,25,,0.4447,2,U+3C4E,㱎,cannot be known; agnostic,0.5424359433333333,"欠, 网, 魚"
characters,struct_together_sem_split,55,10,371,206,25,,0.4447,3,U+3D8D,㶍,name of a stream,0.53493916,"水, 羊, 魚"
characters,struct_together_sem_split,56,53,982,772,0,,0.2138,1,U+3400,㐀,(same as U+4E18 丘) hillock or mound,0.53586629,"一, 卜"
characters,struct_together_sem_split,56,42,982,772,0,,0.2138,2,U+34C2,㓂,"(a variant of 寇) tyrannical; cruel, to rob; to plunder, banditti; thieves; highwaymen",0.6372032474999999,"一, 儿, 冖, 女"
characters,struct_together_sem_split,56,16,982,772,0,,0.2138,3,U+34D6,㓖,"bitterly cold, cold wind; the north wind",0.538721515,"一, 冫"
characters,struct_together_sem_split,57,14,168,132,0,,0.2143,1,U+354A,㕊,"to slant; intricate; describe a writer's pen, lofty rocks; protruded rocks; resolute",0.5621809375,"丶, 十, 厂, 月"
characters,struct_together_sem_split,57,15,168,132,0,,0.2143,2,U+35C5,㗅,"(same as 胡) angry, the throat, what? how? why? which?",0.57105281,"十, 口, 月"
characters,struct_together_sem_split,57,54,168,132,0,,0.2143,3,U+35D8,㗘,to bite the hard and solid food,0.526255192,"丶, 十, 口, 寸, 月"
characters,struct_together_sem_split,58,20,447,338,0,,0.2438,1,U+342E,㐮,"(same as 襄) to help; to assist, to achieve, to rise; to raise",0.6070815,"亠, 八"
characters,struct_together_sem_split,58,47,447,338,0,,0.2438,2,U+34B5,㒵,(same as 貌) manner; appearance; form; face; bearing,0.60375282,"八, 白"
characters,struct_together_sem_split,58,12,447,338,0,,0.2438,3,U+34B6,㒶,(ancient form of 公) public; open to all,0.591833025,"八, 白"
characters,struct_together_sem_split,59,45,263,186,0,,0.2928,1,U+3504,㔄,"thin, small cut",0.6026597020000001,"一, 丨, 刀, 口, 米"
characters,struct_together_sem_split,59,12,263,186,0,,0.2928,2,U+355C,㕜,(ancient form of 史) history; chronicles; annals,0.67882518,"丨, 又, 口"
characters,struct_together_sem_split,59,8,263,186,0,,0.2928,3,U+3569,㕩,"(non-classical form) sound of tapping; sound of striking, opposing voices",0.5499961449999999,"一, 丨, 二, 口"
characters,sem_together_struct_split,52,0,6914,6150,,27,0.1105,1,U+3409,㐉,,0.8996003466666668,"一, 乙, 亅"
characters,sem_together_struct_split,9,0,6914,6150,,27,0.1105,2,U+340B,㐋,,0.961006995,"乙, 土"
characters,sem_together_struct_split,56,0,6914,6150,,27,0.1105,3,U+340F,㐏,,0.84940052,"一, 乙"
characters,sem_together_struct_split,27,1,239,183,,3,0.2343,1,U+34E5,㓥,(dial.) to kill; to slaughter,0.6754782500000001,"刀, 彐"
characters,sem_together_struct_split,46,1,239,183,,3,0.2343,2,U+34E8,㓨,(same as 刺) to pierce; to stab; to irritate; to hurt,0.6723574433333334,"人, 刀, 大"
characters,sem_together_struct_split,42,1,239,183,,3,0.2343,3,U+34F9,㓹,"(same as 銳) a sharp-pointed weapon, acute; zealous; valiant, wound, minor injury",0.6530838433333334,"刀, 厂, 火"
characters,sem_together_struct_split,27,2,372,297,,29,0.2016,1,U+34EE,㓮,(same as 雕) to engrave; to carve; to tattoo,0.7465452,刀
characters,sem_together_struct_split,21,2,372,297,,29,0.2016,2,U+34F5,㓵,(same as 鍔) swords; a double-edged sword,0.5834157766666667,"一, 刀, 口"
characters,sem_together_struct_split,11,2,372,297,,29,0.2016,3,U+34FD,㓽,a kind of farm tool; iron spade; spade,0.5852728325000001,"刀, 宀, 山, 示"
characters,sem_together_struct_split,26,3,390,240,,36,0.3846,1,U+3486,㒆,(same as 歙) to gather the harvest; to gather together,0.5027755475,"一, 人, 口, 羽"
characters,sem_together_struct_split,9,3,390,240,,36,0.3846,2,U+3637,㘷,"(same as 艾) Mugwort, artemisia or any plant which produces moxa punk, general name for plants like mint",0.49217986999999996,"丿, 土, 艸"
characters,sem_together_struct_split,9,3,390,240,,36,0.3846,3,U+363A,㘺,"cultivated land; to till lands, a clod of earth",0.44867294,"人, 土, 戈"
characters,sem_together_struct_split,46,4,252,208,,27,0.1746,1,U+3431,㐱,"(same as 鬒) bushy, black hair",0.714386405,"人, 彡"
characters,sem_together_struct_split,46,4,252,208,,27,0.1746,2,U+3494,㒔,"to shake one's head, ugly, not in peace",0.64373672,"人, 网"
characters,sem_together_struct_split,17,4,252,208,,27,0.1746,3,U+34BE,㒾,a kind of wrapper used to cover over the face and head,0.5966257724999999,"乙, 二, 冂, 方"
characters,sem_together_struct_split,25,5,414,350,,27,0.1546,1,U+34B9,㒹,"(non-classical of 顛) to upset; to turn over, to fall, upside down",0.4495883,"一, 八, 十"
characters,sem_together_struct_split,6,5,414,350,,27,0.1546,2,U+34D4,㓔,(same as 謝) faded and fallen -- as blossoms; withered,0.61282553,"冫, 寸, 身"
characters,sem_together_struct_split,56,5,414,350,,27,0.1546,3,U+3543,㕃,to fall over; rolling on the ground,0.5132092233333333,"一, 厂, 廾"
characters,sem_together_struct_split,27,6,302,176,,29,0.4172,1,U+3CB6,㲶,(old translated form) chlorine (symbol Cl),0.48731342,"气, 鹵"
characters,sem_together_struct_split,26,6,302,176,,29,0.4172,2,U+3DCD,㷍,a chemical term; known formerly as benzene,0.31304556,"一, 人, 火"
characters,sem_together_struct_split,27,6,302,176,,29,0.4172,3,U+40A3,䂣,a kind of mineral,0.5644199466666667,"匕, 止, 石"
characters,sem_together_struct_split,34,7,293,219,,27,0.2526,1,U+3B70,㭰,"to know; to recognize, to hide; to conceal, (same as 嘴) beak (of a bird), stone probe",0.56468722,"匕, 木, 止"
characters,sem_together_struct_split,34,7,293,219,,27,0.2526,2,U+3B84,㮄,(non-classical form of 榜) publicly posted roll of successful examinees,0.4892774475,"二, 勹, 方, 木"
characters,sem_together_struct_split,42,7,293,219,,27,0.2526,3,U+3DE6,㷦,(non-classical form of 瞁) to open the eyes with astonishment,0.55843809,"火, 耳"
characters,sem_together_struct_split,6,8,427,298,,1,0.3021,1,U+34C8,㓈,sound of flying or speeding,0.54477456,"冫, 石"
characters,sem_together_struct_split,59,8,427,298,,1,0.3021,2,U+3569,㕩,"(non-classical form) sound of tapping; sound of striking, opposing voices",0.5499961449999999,"一, 丨, 二, 口"
characters,sem_together_struct_split,18,8,427,298,,1,0.3021,3,U+356D,㕭,"(same as 咬) to bark as a dog, obscene expressions, an interjection; implying surprise",0.6479817466666667,"丿, 口, 大"
characters,sem_together_struct_split,56,9,402,328,,27,0.1841,1,U+354C,㕌,"to raise the curtain, a kind of rock",0.542288705,"一, 厂, 寸, 日"
characters,sem_together_struct_split,10,9,402,328,,27,0.1841,2,U+3554,㕔,(non-classical form of 廳) a hall; a court; a lodge; a room,0.502621965,"丿, 厂, 士, 耳"
characters,sem_together_struct_split,9,9,402,328,,27,0.1841,3,U+3627,㘧,"(same as 序) precedence, order, orderly, the east and west walls of the parlor",0.61609441,"乙, 土"
characters,sem_together_struct_split,47,10,273,175,,12,0.359,1,U+3563,㕣,"a marsh at the foot of the hills, (interchangeable 湢 沇) name of a river",0.461514545,"八, 口"
characters,sem_together_struct_split,4,10,273,175,,12,0.359,2,U+3679,㙹,"a damp; a marsh, (interchangeable 夢)",0.6508258,"冖, 土, 夕"
characters,sem_together_struct_split,11,10,273,175,,12,0.359,3,U+37C1,㟁,(a variant of 岸) shore; bank; beach; coast,0.5266876133333334,"厂, 山, 干"
characters,sem_together_struct_split,46,11,176,94,,15,0.4659,1,U+3843,㡃,an artisan to soften raw silk by boiling and to dye the dressed silk,0.61392218,"人, 巾"
characters,sem_together_struct_split,53,11,176,94,,15,0.4659,2,U+3846,㡆,(same as U+3843 㡃) an artisan to soften raw silk by boiling and to dye the dressed silk,0.696379575,"亠, 巾"
characters,sem_together_struct_split,53,11,176,94,,15,0.4659,3,U+3BC2,㯂,pillar or post of a frame on which silkworms spin,0.47030780666666666,"冖, 巾, 木"
characters,sem_together_struct_split,49,12,395,330,,27,0.1646,1,U+3435,㐵,Confucianism; scholar,0.51139943,"二, 人"
characters,sem_together_struct_split,46,12,395,330,,27,0.1646,2,U+347C,㑼,name of a god,0.6240043325,"人, 口, 夂, 田"
characters,sem_together_struct_split,25,12,395,330,,27,0.1646,3,U+348B,㒋,"a servant; a menial, a woodcutter",0.53963586,"一, 人, 八, 斤"
characters,sem_together_struct_split,4,13,404,285,,3,0.2946,1,U+3434,㐴,"(non-classical of 攀) to drag down; to seize, to pull, to hold to",0.5824327499999999,"人, 夕"
characters,sem_together_struct_split,46,13,404,285,,3,0.2946,2,U+343C,㐼,(corrupted form of 拯) to save; to lift up,0.7065747366666666,"丿, 人, 廾"
characters,sem_together_struct_split,46,13,404,285,,3,0.2946,3,U+3443,㑃,"(same as 拗) to pull; to drag, to break off, to pluck, as a flower",0.62649868,"人, 力, 幺"
characters,sem_together_struct_split,26,14,381,316,,27,0.1706,1,U+3537,㔷,"(ancient form of 陋) to secrete; to hide, a kind of basket",0.6804570425,"一, 人, 冂, 匚"
characters,sem_together_struct_split,26,14,381,316,,27,0.1706,2,U+3549,㕉,to dig a hole; to tuck in; to put the finger into,0.5947876,"一, 人, 厂, 口"
characters,sem_together_struct_split,57,14,381,316,,27,0.1706,3,U+354A,㕊,"to slant; intricate; describe a writer's pen, lofty rocks; protruded rocks; resolute",0.5621809375,"丶, 十, 厂, 月"
characters,sem_together_struct_split,10,15,328,251,,27,0.2348,1,U+342B,㐫,"(same as 凶) cruel, unfortunate, sad",0.7175494033333333,"丿, 亠, 凵"
characters,sem_together_struct_split,13,15,328,251,,27,0.2348,2,U+3466,㑦,"anger; rage; angry, (same as 戾) recalcitrant; stubbornly persisting in doing something wrong; cruel; despotic",0.5416730624999999,"丶, 人, 尸, 犬"
characters,sem_together_struct_split,46,15,328,251,,27,0.2348,3,U+3467,㑧,"(corrupted form of 悸) perturbed, to throb, palpitation of the heart",0.5156907533333334,"人, 子, 禾"
characters,sem_together_struct_split,34,16,247,189,,27,0.2348,1,U+345B,㑛,to shake one's head,0.543035775,"人, 木"
characters,sem_together_struct_split,6,16,247,189,,27,0.2348,2,U+34CE,㓎,"cold, cold air, bitterly cold",0.68194443,冫
characters,sem_together_struct_split,9,16,247,189,,27,0.2348,3,U+34D0,㓐,"to rain, cold; wintry",0.6818709166666667,"儿, 冫, 土"
characters,sem_together_struct_split,27,17,257,210,,1,0.1829,1,U+34AB,㒫,(ancient form of 旡) choked and unable to breath,0.5949297,儿
characters,sem_together_struct_split,46,17,257,210,,1,0.1829,2,U+359E,㖞,(simplified form of 喎) a wry mouth,0.7192349433333334,"人, 冂, 口"
characters,sem_together_struct_split,21,17,257,210,,1,0.1829,3,U+35AD,㖭,(same as 舔) to lick; to taste; (Cant.) even; in addition,0.6219189399999999,"一, 丶, 口, 大, 小"
characters,sem_together_struct_split,26,18,399,343,,27,0.1404,1,U+3433,㐳,high and level on the top,0.6199982566666667,"一, 人, 儿"
characters,sem_together_struct_split,46,18,399,343,,27,0.1404,2,U+3439,㐹,"(standard form of 仡) strong; valiant, a minority ethnic group in China",0.532455225,"人, 气"
characters,sem_together_struct_split,46,18,399,343,,27,0.1404,3,U+3468,㑨,"great; big; tall; vast, noble; high in rank, very; much",0.5503929066666666,"人, 口, 矢"
characters,sem_together_struct_split,49,19,383,280,,27,0.2689,1,U+352E,㔮,a kind of animal which looks like a rat,0.673331334,"二, 人, 厶, 口, 廾"
characters,sem_together_struct_split,0,19,383,280,,27,0.2689,2,U+360E,㘎,(simplified form) the roars of a tiger,0.562746056,"乙, 口, 攴, 耳, 門"
characters,sem_together_struct_split,11,19,383,280,,27,0.2689,3,U+3621,㘡,(same as 柙) a pen for wild beasts; a cage for prisoners,0.5559258499999999,"囗, 田"
characters,sem_together_struct_split,25,20,733,610,,27,0.1678,1,U+3424,㐤,"to implore; to beseech, to seek after, to beg; to pray",0.524879085,"一, 乙, 八, 十"
characters,sem_together_struct_split,58,20,733,610,,27,0.1678,2,U+342E,㐮,"(same as 襄) to help; to assist, to achieve, to rise; to raise",0.6070815,"亠, 八"
characters,sem_together_struct_split,1,20,733,610,,27,0.1678,3,U+342F,㐯,"(ancient form of 庸) to employ; to use, to manifest",0.70476639,"亠, 口, 香"
characters,sem_together_struct_split,1,21,155,122,,27,0.2129,1,U+352F,㔯,"(same as 匴) a large basket for holding cooked rice, a kind of tray made of bamboo used in ancient time",0.508663325,"匚, 口"
characters,sem_together_struct_split,56,21,155,122,,27,0.2129,2,U+3667,㙧,(same as 塯) earthenware; a kind of rice container,0.5041880533333334,"一, 土, 田"
characters,sem_together_struct_split,53,21,155,122,,27,0.2129,3,U+3837,㠷,"a vessel for rice, mats on carriage",0.527274715,"又, 巾"
characters,sem_together_struct_split,27,22,222,153,,11,0.3108,1,U+3552,㕒,a lofty peak; a mountain peak,0.46000831,"厂, 戈"
characters,sem_together_struct_split,13,22,222,153,,11,0.3108,2,U+3597,㖗,(corrupted form) high ridges of cliffs,0.41809332499999996,"丶, 人, 口, 山"
characters,sem_together_struct_split,34,22,222,153,,11,0.3108,3,U+365E,㙞,a small mountain; a hill,0.5437113666666668,"土, 木, 自"
characters,sem_together_struct_split,51,23,344,194,,12,0.436,1,U+3561,㕡,"(same as U+58D1 壑) the bed of a torrent; a gully, a pool",0.51953697,"又, 谷"
characters,sem_together_struct_split,9,23,344,194,,12,0.436,2,U+363F,㘿,"(same as 涅) to fill up, as a hole, black mud; slime, to stop up; to block; to cork",0.6380110999999999,"土, 日"
characters,sem_together_struct_split,31,23,344,194,,12,0.436,3,U+364E,㙎,"breach of a tank; pond, (a dialect) to cover up; to conceal; to hide; to bury",0.5243489575,"一, 土, 女, 戈"
characters,sem_together_struct_split,17,24,144,103,,27,0.2847,1,U+3429,㐩,wine cups,0.4581224,二
characters,sem_together_struct_split,5,24,144,103,,27,0.2847,2,U+34C3,㓃,(standard form of U+8A6B 詫) to sacrifice by pouring out a libation of wine,0.5996744325,"丿, 乙, 冖, 言"
characters,sem_together_struct_split,34,24,144,103,,27,0.2847,3,U+3C02,㰂,a kind of tree; the juice of which is used to make wine,0.5144285625,"宀, 木, 田, 釆"
characters,sem_together_struct_split,27,25,356,191,,55,0.4635,1,U+3428,㐨,a kind of fish in legend (a record in old books),0.66347539,乙
characters,sem_together_struct_split,27,25,356,191,,55,0.4635,2,U+373F,㜿,name of a legendary fish; spawn; roe,0.5941748,"乙, 子"
characters,sem_together_struct_split,12,25,356,191,,55,0.4635,3,U+3D25,㴥,great billows; heavy seas rolling in,0.5378628566666667,"山, 月, 水"
characters,sem_together_struct_split,24,26,220,191,,27,0.1318,1,U+352D,㔭,"(same as 匙) a spoon, a key",0.553005515,"匕, 日"
characters,sem_together_struct_split,32,26,220,191,,27,0.1318,2,U+3536,㔶,"a small cup, a box; a chest, a granary, cover of a vessel",0.6333876528571428,"匚, 十, 夂, 工, 日, 立, 貝"
characters,sem_together_struct_split,1,26,220,191,,27,0.1318,3,U+353D,㔽,(non-classical form of 卣) a kind of wine pot or jar used in ancient time,0.4899717666666667,"卜, 口, 囗"
characters,sem_together_struct_split,4,27,379,292,,35,0.2296,1,U+3485,㒅,to unbind the collar,0.6268834499999999,"亠, 人, 夕"
characters,sem_together_struct_split,30,27,379,292,,35,0.2296,2,U+34A9,㒩,"(same as 梴 裸) naked, to strip; to unclothe",0.5261973333333333,"人, 彐, 虫"
characters,sem_together_struct_split,20,27,379,292,,35,0.2296,3,U+3692,㚒,concealed the stolen goods in one's dress,0.48471746,大
characters,sem_together_struct_split,46,28,592,516,,27,0.1284,1,U+3447,㑇,"clever, ingenious; cute; pretty",0.7332221,"人, 彐"
characters,sem_together_struct_split,36,28,592,516,,27,0.1284,2,U+3464,㑤,"(same as 媌) good looking, a prostitute",0.5425384433333332,"人, 田, 艸"
characters,sem_together_struct_split,46,28,592,516,,27,0.1284,3,U+347A,㑺,"(a variant of 俊) superior, handsome, refined, eminent",0.6972450800000001,"丿, 人, 隹"
characters,sem_together_struct_split,46,29,330,267,,32,0.1909,1,U+3438,㐸,"(non-classical form of 欠) to owe money, deficient, to yawn, last name",0.6034689550000001,"人, 欠"
characters,sem_together_struct_split,46,29,330,267,,32,0.1909,2,U+3458,㑘,"(same as 价) a servant, a middle-man, good, great; (a simplified form) price; value",0.5981435966666666,"人, 廾, 戈"
characters,sem_together_struct_split,12,29,330,267,,32,0.1909,3,U+3491,㒑,"grow up, commodity prices",0.5216897125000001,"人, 匚, 水, 隹"
characters,sem_together_struct_split,13,30,148,80,,27,0.4595,1,U+4E36,丶,dot; Kangxi radical 3,0.59572434,丶
characters,sem_together_struct_split,10,30,148,80,,27,0.4595,2,U+4E3F,丿,line; Kangxi radical 4,0.57003784,丿
characters,sem_together_struct_split,56,30,148,80,,27,0.4595,3,U+4EA0,亠,head; Kangxi radical 8,0.5172613,"一, 丶"
characters,sem_together_struct_split,26,31,388,314,,27,0.1907,1,U+3487,㒇,"(same as 憮) to skip about; to dance for joy; to soothe, slow, disappointed",0.561924735,"一, 人, 十, 火"
characters,sem_together_struct_split,46,31,388,314,,27,0.1907,2,U+3493,㒓,"to escape; to abscond; to flee, (interchangeable 達)",0.62302193,"人, 辵"
characters,sem_together_struct_split,9,31,388,314,,27,0.1907,3,U+3644,㙄,"below; under; low, (same as 陛) the steps to the throne, to ascend steps",0.48577707999999997,"土, 比"
characters,sem_together_struct_split,1,32,268,231,,27,0.1381,1,U+3416,㐖,"㐖毒, an old name for India",0.6027176166666667,"乙, 口, 士"
characters,sem_together_struct_split,46,32,268,231,,27,0.1381,2,U+3432,㐲,name of an island,0.63007188,"人, 大"
characters,sem_together_struct_split,46,32,268,231,,27,0.1381,3,U+343B,㐻,name of a person,0.80417052,"人, 冂"
characters,sem_together_struct_split,24,33,693,597,,27,0.1385,1,U+3520,㔠,"industry, sound of making strenuous efforts",0.55292213,"人, 力, 勹, 日"
characters,sem_together_struct_split,2,33,693,597,,27,0.1385,2,U+3B62,㭢,"mechanics, opportunity, urgent",0.6216313075,"一, 刀, 廾, 木"
characters,sem_together_struct_split,56,33,693,597,,27,0.1385,3,U+4E1A,业,"profession, business; GB radical 111",0.51926446,一
characters,sem_together_struct_split,46,34,330,272,,27,0.1758,1,U+348C,㒌,(ancient form of 煢) along; desolate; orphaned,0.5923163549999999,"人, 几"
characters,sem_together_struct_split,46,34,330,272,,27,0.1758,2,U+3495,㒕,unyield,0.651416315,"亠, 人, 幺, 隹"
characters,sem_together_struct_split,46,34,330,272,,27,0.1758,3,U+349B,㒛,to stand alone; independent,0.59151173,"人, 羽, 隹"
characters,sem_together_struct_split,31,35,202,94,,50,0.5347,1,U+385E,㡞,"a sack used to feed the horses, an old family name",0.48830447,"女, 巾"
characters,sem_together_struct_split,9,35,202,94,,50,0.5347,2,U+3B55,㭕,a board (on the back of a donkey) for carrying things; saddle,0.5421240733333333,"厶, 土, 木"
characters,sem_together_struct_split,34,35,202,94,,50,0.5347,3,U+3B72,㭲,"(same as 极) a wooden frame (on the back of a donkey) for carrying things, (simplified form of 極) to exhaust, extreme; highest; topmost",0.52892342,"木, 谷"
characters,sem_together_struct_split,42,36,346,282,,27,0.185,1,U+3484,㒄,"brittle and friable, fear; dread; fright; scare",0.569190935,"人, 冫, 火, 犬"
characters,sem_together_struct_split,34,36,346,282,,27,0.185,2,U+3489,㒉,(same as 惝) alarmed; agitated,0.54107529,"人, 木"
characters,sem_together_struct_split,21,36,346,282,,27,0.185,3,U+3576,㕶,"(Cant.) an expletive, exclamation",0.61081624,"一, 口"
characters,sem_together_struct_split,27,37,221,113,,23,0.4887,1,U+3533,㔳,"(ancient form of 簋) a square basket of bamboo for holding grain used at sacrifices, feasts, etc.",0.5365383,"几, 匚, 食"
characters,sem_together_struct_split,3,37,221,113,,23,0.4887,2,U+3A27,㨧,wooden stick or bamboo cane (shaped segment of a circle) used to support the covering of a carriage in ancient times,0.40252036,"厶, 大, 手, 田"
characters,sem_together_struct_split,34,37,221,113,,23,0.4887,3,U+3BEB,㯫,a wattle or bamboo fence,0.6482563966666667,"木, 虍, 豕"
characters,sem_together_struct_split,34,38,302,221,,36,0.2682,1,U+3BDD,㯝,paulownia,0.5536155675,"口, 夂, 木, 足"
characters,sem_together_struct_split,34,38,302,221,,36,0.2682,2,U+3C16,㰖,(same as 欖) the olive,0.516731225,"丶, 木, 臣, 見"
characters,sem_together_struct_split,2,38,302,221,,36,0.2682,3,U+3FB4,㾴,the erythema of acne rosacea,0.5106578566666666,"一, 木, 疒"
characters,sem_together_struct_split,38,39,206,109,,42,0.4709,1,U+3871,㡱,(same as 灸) (in Chinese medicine) to cauterize by burning moxa; moxa cautery; moxibustion,0.53724065,"丿, 广"
characters,sem_together_struct_split,9,39,206,109,,42,0.4709,2,U+397A,㥺,(same as 熆) to blow a fire,0.6762558075,"厶, 土, 心, 皿"
characters,sem_together_struct_split,24,39,206,109,,42,0.4709,3,U+3B04,㬄,"warm and damp (moist; humid), a little warm",0.55995023,日
characters,sem_together_struct_split,1,40,155,57,,33,0.6323,1,U+3546,㕆,fine stone; fine jade,0.43213497666666667,"十, 厂, 口"
characters,sem_together_struct_split,53,40,155,57,,33,0.6323,2,U+3EB0,㺰,(same as 瑡) a kind of jade,0.6173414966666666,"一, 巾, 玉"
characters,sem_together_struct_split,46,40,155,57,,33,0.6323,3,U+3EB1,㺱,a kind of jade,0.6385623233333334,"丿, 人, 玉"
characters,sem_together_struct_split,27,41,278,145,,34,0.4784,1,U+373D,㜽,"(ancient form of 子) child, seed, 1st terrestrial branch",0.59004238,"子, 巛"
characters,sem_together_struct_split,24,41,278,145,,34,0.4784,2,U+3B7A,㭺,"the cherry-apple, a kind of tree",0.54016839,"乙, 大, 日, 木"
characters,sem_together_struct_split,31,41,278,145,,34,0.4784,3,U+3B83,㮃,"farm tool, (same as 桵) a kind of tree",0.5206921466666666,"女, 木, 禾"
characters,sem_together_struct_split,25,42,571,483,,5,0.1541,1,U+341C,㐜,"(same as 仇) an enemy, enmity, hatred, to hate, a rival, a match",0.653694438,"一, 丶, 乙, 亅, 八"
characters,sem_together_struct_split,50,42,571,483,,5,0.1541,2,U+3437,㐷,"a kind of punishment in Han Dynasty, name of chessmen in Chinese chess game (simplified form, a variant 罵) to curse; to revile; to abuse, to scold",0.564056965,"人, 馬"
characters,sem_together_struct_split,46,42,571,483,,5,0.1541,3,U+3444,㑄,"(ancient form of 侮) to insult, to ridicule",0.58538568,"人, 毋"
characters,sem_together_struct_split,47,43,425,368,,27,0.1341,1,U+35AB,㖫,(sound transcription) used in names for minority ethnic group in ancient China,0.5379786875,"八, 口, 土, 夂"
characters,sem_together_struct_split,9,43,425,368,,27,0.1341,2,U+3635,㘵,name of a place; in Fujian Province,0.6580871049999999,"土, 巾"
characters,sem_together_struct_split,9,43,425,368,,27,0.1341,3,U+3648,㙈,name of a place in Shanxi province,0.52854411,"几, 土, 虍"
characters,sem_together_struct_split,21,44,321,180,,22,0.4393,1,U+3590,㖐,sound of calling ducks,0.5683957733333332,"一, 丿, 口"
characters,sem_together_struct_split,13,44,321,180,,22,0.4393,2,U+35A1,㖡,the birds singing during the night; (Cant.) interjection to indicate the speaker is thinking,0.6131137279999999,"丶, 亠, 人, 口, 夂"
characters,sem_together_struct_split,1,44,321,180,,22,0.4393,3,U+35B7,㖷,"bird singing, (same as 啼) to cry; to mourn; to howl, to twitter; to crow",0.644994375,"口, 日"
characters,sem_together_struct_split,20,45,420,360,,27,0.1429,1,U+3421,㐡,(same as 懦) weak; timid; imbecile,0.6479557133333333,"乙, 大, 而"
characters,sem_together_struct_split,26,45,420,360,,27,0.1429,2,U+3448,㑈,"(simplified form) rude; barbarous, stupid; dull, last name",0.5871905049999999,"一, 人"
characters,sem_together_struct_split,46,45,420,360,,27,0.1429,3,U+344B,㑋,"small, poor, submit to the dominion of; slow; late",0.609877255,"人, 曰"
characters,sem_together_struct_split,34,46,430,343,,15,0.2023,1,U+3471,㑱,"a kind of monkey, fingering for an ancient string instrument",0.6254202133333333,"人, 木, 矛"
characters,sem_together_struct_split,27,46,430,343,,15,0.2023,2,U+34E1,㓡,"(same as 弣) the middle part of a bow; the handle of a bow, try to dig and get something with a knife",0.593994825,"刀, 缶"
characters,sem_together_struct_split,51,46,430,343,,15,0.2023,3,U+361D,㘝,"to take in; to absorb, (non-classical form of 罱) a kind of spring fishing net; a kind of small net with a handle used to catch fishes or birds",0.5003578049999999,"又, 囗"
characters,sem_together_struct_split,46,47,846,732,,27,0.1348,1,U+343A,㐺,"(standard form of 眾) all; the whole of; a multitude, a crowd (three or more)",0.6378839,人
characters,sem_together_struct_split,46,47,846,732,,27,0.1348,2,U+3441,㑁,(same as U+20B74 𠭴) short; of short stature,0.6815515333333334,"人, 凵, 屮"
characters,sem_together_struct_split,46,47,846,732,,27,0.1348,3,U+3449,㑉,cannot straighten up,0.6139285566666667,"人, 几, 歹"
characters,sem_together_struct_split,1,48,235,200,,27,0.1489,1,U+342D,㐭,"(same as 廩) a granary, to supply (foodstuff), to stockpile",0.5679718066666667,"亠, 口, 囗"
characters,sem_together_struct_split,13,48,235,200,,27,0.1489,2,U+34E7,㓧,agricultural implements,0.5528925675,"丶, 人, 刀, 口"
characters,sem_together_struct_split,46,48,235,200,,27,0.1489,3,U+3531,㔱,"(same as 庾) a stack of grain, a measure of 16 dǒu",0.5605822033333333,"人, 匚, 臼"
characters,sem_together_struct_split,52,49,313,269,,12,0.1406,1,U+34C5,㓅,frozen; cold,0.6152332066666667,"一, 亅, 冫"
characters,sem_together_struct_split,6,49,313,269,,12,0.1406,2,U+34C9,㓉,"ice; icicles, cold; frost, crystallized",0.53270257,"冫, 舌"
characters,sem_together_struct_split,6,49,313,269,,12,0.1406,3,U+34D3,㓓,thin ice,0.5763333,"冂, 冫, 十"
characters,sem_together_struct_split,9,50,379,300,,24,0.2084,1,U+3660,㙠,"dust; dirt; a smear, (same as 曀) the sun hidden by clouds, obscure",0.5607444575,"匚, 土, 殳, 矢"
characters,sem_together_struct_split,9,50,379,300,,24,0.2084,2,U+366A,㙪,"dark; the sun hidden by clouds, obscure",0.5332761325,"冖, 土, 士, 豆"
characters,sem_together_struct_split,32,50,379,300,,24,0.2084,3,U+373A,㜺,"white color; no respect; imprudent; (Cant.) interesting, good",0.6141109066666667,"儿, 女, 貝"
characters,sem_together_struct_split,24,51,395,349,,27,0.1165,1,U+34ED,㓭,(same as U+97A8 鞨) to make ready the leather for shoes,0.6178248525,"人, 刀, 勹, 日"
characters,sem_together_struct_split,42,51,395,349,,27,0.1165,2,U+3550,㕐,"inclined; slanting, to upset; to be overthrown, to collapse, to fall flat",0.45172161,"勹, 厂, 火, 臼"
